| name              | title                        | level | facing   | categories      | description                                                                                                                           | detail                                                                                                                                                                                                                                                                                                                                                                                                                                                      | remediation                                                                           | metadata                                                                                                                       | cache_key                                                                                   |
| ----------------- | ---------------------------- | ----- | -------- | --------------- | ------------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------- |
| auth_rls_initplan | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row | Table \`public.users\` has a row level security policy \`users_optimized_policy\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.                         | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan | {"name":"users","type":"table","schema":"public"}                                                                              | auth_rls_init_plan_public_users_users_optimized_policy                                      |
| auth_rls_initplan | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row | Table \`public.companies\` has a row level security policy \`companies_optimized_policy\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.                 | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan | {"name":"companies","type":"table","schema":"public"}                                                                          | auth_rls_init_plan_public_companies_companies_optimized_policy                              |
| auth_rls_initplan | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row | Table \`public.products\` has a row level security policy \`products_optimized_policy\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.                   | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan | {"name":"products","type":"table","schema":"public"}                                                                           | auth_rls_init_plan_public_products_products_optimized_policy                                |
| auth_rls_initplan | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row | Table \`public.sales\` has a row level security policy \`sales_optimized_policy\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.                         | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan | {"name":"sales","type":"table","schema":"public"}                                                                              | auth_rls_init_plan_public_sales_sales_optimized_policy                                      |
| auth_rls_initplan | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row | Table \`public.clients\` has a row level security policy \`clients_optimized_policy\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.                     | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan | {"name":"clients","type":"table","schema":"public"}                                                                            | auth_rls_init_plan_public_clients_clients_optimized_policy                                  |
| auth_rls_initplan | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row | Table \`public.branches\` has a row level security policy \`branches_optimized_policy\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info.                   | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan | {"name":"branches","type":"table","schema":"public"}                                                                           | auth_rls_init_plan_public_branches_branches_optimized_policy                                |
| auth_rls_initplan | Auth RLS Initialization Plan | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects if calls to \`current_setting()\` and \`auth.<function>()\` in RLS policies are being unnecessarily re-evaluated for each row | Table \`public.financial_entries\` has a row level security policy \`financial_entries_optimized_policy\` that re-evaluates current_setting() or auth.<function>() for each row. This produces suboptimal query performance at scale. Resolve the issue by replacing \`auth.<function>()\` with \`(select auth.<function>())\`. See [docs](https://supabase.com/docs/guides/database/postgres/row-level-security#call-functions-with-select) for more info. | https://supabase.com/docs/guides/database/database-linter?lint=0003_auth_rls_initplan | {"name":"financial_entries","type":"table","schema":"public"}                                                                  | auth_rls_init_plan_public_financial_entries_financial_entries_optimized_policy              |
| duplicate_index   | Duplicate Index              | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects cases where two ore more identical indexes exist.                                                                             | Table \`public.clients\` has identical indexes {idx_clients_company_fkey,idx_clients_company_uuid}. Drop all except one of them                                                                                                                                                                                                                                                                                                                             | https://supabase.com/docs/guides/database/database-linter?lint=0009_duplicate_index   | {"name":"clients","type":"table","schema":"public","indexes":["idx_clients_company_fkey","idx_clients_company_uuid"]}          | duplicate_index_public_clients_{idx_clients_company_fkey,idx_clients_company_uuid}          |
| duplicate_index   | Duplicate Index              | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects cases where two ore more identical indexes exist.                                                                             | Table \`public.clients\` has identical indexes {idx_clients_created_by_fkey,idx_clients_created_by_uuid}. Drop all except one of them                                                                                                                                                                                                                                                                                                                       | https://supabase.com/docs/guides/database/database-linter?lint=0009_duplicate_index   | {"name":"clients","type":"table","schema":"public","indexes":["idx_clients_created_by_fkey","idx_clients_created_by_uuid"]}    | duplicate_index_public_clients_{idx_clients_created_by_fkey,idx_clients_created_by_uuid}    |
| duplicate_index   | Duplicate Index              | WARN  | EXTERNAL | ["PERFORMANCE"] | Detects cases where two ore more identical indexes exist.                                                                             | Table \`public.products\` has identical indexes {idx_products_company_fkey,idx_products_company_uuid}. Drop all except one of them                                                                                                                                                                                                                                                                                                                          | https://supabase.com/docs/guides/database/database-linter?lint=0009_duplicate_index   | {"name":"products","type":"table","schema":"public","indexes":["idx_products_company_fkey","idx_products_company_uuid"]}       | duplicate_index_public_products_{idx_products_company_fkey,idx_products_company_uuid}       |
