| name                   | title                  | level | facing   | categories      | description                                                                                         | detail                                                                                                                                                              | remediation                                                                                | metadata                                                                                                                          | cache_key                                                                         |
| ---------------------- | ---------------------- | ----- | -------- | --------------- | --------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------ | --------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------- |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.appointments\` has a foreign key \`appointments_client_id_fkey\` without a covering index. This can lead to suboptimal query performance.            | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"appointments","type":"table","schema":"public","fkey_name":"appointments_client_id_fkey","fkey_columns":[4]}             | unindexed_foreign_keys_public_appointments_appointments_client_id_fkey            |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.appointments\` has a foreign key \`appointments_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.           | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"appointments","type":"table","schema":"public","fkey_name":"appointments_created_by_fkey","fkey_columns":[14]}           | unindexed_foreign_keys_public_appointments_appointments_created_by_fkey           |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.branches\` has a foreign key \`branches_company_id_fkey\` without a covering index. This can lead to suboptimal query performance.                   | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"branches","type":"table","schema":"public","fkey_name":"branches_company_id_fkey","fkey_columns":[2]}                    | unindexed_foreign_keys_public_branches_branches_company_id_fkey                   |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.clients\` has a foreign key \`clients_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.                     | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"clients","type":"table","schema":"public","fkey_name":"clients_created_by_fkey","fkey_columns":[10]}                     | unindexed_foreign_keys_public_clients_clients_created_by_fkey                     |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.financial_entries\` has a foreign key \`financial_entries_created_by_fkey\` without a covering index. This can lead to suboptimal query performance. | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"financial_entries","type":"table","schema":"public","fkey_name":"financial_entries_created_by_fkey","fkey_columns":[14]} | unindexed_foreign_keys_public_financial_entries_financial_entries_created_by_fkey |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.products\` has a foreign key \`products_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.                   | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"products","type":"table","schema":"public","fkey_name":"products_created_by_fkey","fkey_columns":[14]}                   | unindexed_foreign_keys_public_products_products_created_by_fkey                   |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.sales\` has a foreign key \`sales_client_id_fkey\` without a covering index. This can lead to suboptimal query performance.                          | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"sales","type":"table","schema":"public","fkey_name":"sales_client_id_fkey","fkey_columns":[3]}                           | unindexed_foreign_keys_public_sales_sales_client_id_fkey                          |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.sales\` has a foreign key \`sales_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.                         | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"sales","type":"table","schema":"public","fkey_name":"sales_created_by_fkey","fkey_columns":[12]}                         | unindexed_foreign_keys_public_sales_sales_created_by_fkey                         |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.sales\` has a foreign key \`sales_product_id_fkey\` without a covering index. This can lead to suboptimal query performance.                         | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"sales","type":"table","schema":"public","fkey_name":"sales_product_id_fkey","fkey_columns":[2]}                          | unindexed_foreign_keys_public_sales_sales_product_id_fkey                         |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.transfers\` has a foreign key \`transfers_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.                 | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"transfers","type":"table","schema":"public","fkey_name":"transfers_created_by_fkey","fkey_columns":[11]}                 | unindexed_foreign_keys_public_transfers_transfers_created_by_fkey                 |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.transfers\` has a foreign key \`transfers_product_id_fkey\` without a covering index. This can lead to suboptimal query performance.                 | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"transfers","type":"table","schema":"public","fkey_name":"transfers_product_id_fkey","fkey_columns":[2]}                  | unindexed_foreign_keys_public_transfers_transfers_product_id_fkey                 |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.users\` has a foreign key \`users_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.                         | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"users","type":"table","schema":"public","fkey_name":"users_created_by_fkey","fkey_columns":[11]}                         | unindexed_foreign_keys_public_users_users_created_by_fkey                         |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_users_active\` on table \`public.users\` has not been used                                                                                              | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"users","type":"table","schema":"public"}                                                                                 | unused_index_public_users_idx_users_active                                        |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_products_category\` on table \`public.products\` has not been used                                                                                      | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"products","type":"table","schema":"public"}                                                                              | unused_index_public_products_idx_products_category                                |
